Filename;Laplacian Variance
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_090040.png;289
ESE_0.85m_5.24s_W_7.3kmh_lm_20241115_110405.png;288
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100153.png;288
E_1.18m_4.57s_N_11.7kmh_lm_20241114_110200.png;288
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130108.png;288
E_1.19m_4.88s_N_13.3kmh_hm_20241114_170429.png;288
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130425.png;287
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150246.png;287
E_1.19m_4.86s_NNW_14.1kmh_hm_20241114_160231.png;287
ESE_0.81m_5.13s_W_7.5kmh_mh_20241115_130251.png;286
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100438.png;286
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130130.png;286
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130346.png;286
E_0.82m_4.08s_NNW_11.6kmh_hm_20241113_140058.png;286
E_0.83m_4.0s_NNW_10.8kmh_hm_20241113_160048.png;286
SE_2.94m_6.44s_WNW_23.8kmh_ml_20241120_120502.png;286
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100459.png;285
ESE_1.83m_5.17s_NNW_21.8kmh_hm_20241111_130130.png;285
E_0.98m_5.37s_NE_12.7kmh_ml_20241112_170519.png;285
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140043.png;285
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100256.png;285
E_1.19m_4.88s_N_13.3kmh_hm_20241114_170129.png;285
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100132.png;284
ESE_1.82m_5.12s_NNW_20.9kmh_hm_20241111_115828.png;284
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140534.png;284
E_1.17m_4.7s_N_13.0kmh_mh_20241114_130521.png;284
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130100.png;284
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121939.png;284
ESE_0.81m_5.13s_W_7.5kmh_mh_20241115_130157.png;283
ESE_1.83m_5.17s_NNW_21.8kmh_hm_20241111_130134.png;283
E_0.74m_4.48s_NNW_5.8kmh_lm_20241113_100227.png;283
E_0.83m_4.02s_NNW_12.2kmh_hm_20241113_150444.png;283
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140125.png;283
E_1.17m_4.7s_N_13.0kmh_mh_20241114_130455.png;283
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140119.png;283
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_122100.png;283
E_1.39m_5.58s_NE_16.1kmh_mh_20241112_100753.png;283
ESE_0.83m_5.22s_W_8.0kmh_lm_20241115_120235.png;282
E_0.63m_5.05s_NNW_3.6kmh_ml_20241113_080400.png;282
E_0.83m_4.02s_NNW_12.2kmh_hm_20241113_150159.png;282
E_0.83m_4.0s_NNW_10.8kmh_hm_20241113_160056.png;282
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150521.png;282
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130116.png;282
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121719.png;282
E_1.3m_5.58s_NE_15.6kmh_mh_20241112_111432.png;282
SE_2.84m_6.37s_WNW_24.2kmh_ml_20241120_130049.png;282
ESE_0.83m_3.98s_NW_9.5kmh_ml_20241113_170105.png;281
ESE_0.83m_5.22s_W_8.0kmh_lm_20241115_120359.png;281
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100225.png;281
E_0.82m_4.08s_NNW_11.6kmh_hm_20241113_140128.png;281
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150022.png;281
E_1.3m_5.58s_NE_15.6kmh_mh_20241112_111308.png;281
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_085923.png;281
ESE_0.83m_5.22s_W_8.0kmh_lm_20241115_120039.png;280
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100431.png;280
E_0.98m_5.37s_NE_12.7kmh_ml_20241112_170126.png;280
E_1.18m_4.47s_N_11.1kmh_ml_20241114_090910.png;280
E_1.39m_5.58s_NE_16.1kmh_mh_20241112_100721.png;280
E_1.3m_5.58s_NE_15.6kmh_mh_20241112_111010.png;280
E_1.3m_5.58s_NE_15.6kmh_mh_20241112_111125.png;280
ESE_0.81m_4.65s_WSW_6.7kmh_hm_20241115_160154.png;279
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130045.png;279
E_0.83m_4.0s_NNW_10.8kmh_hm_20241113_160021.png;279
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160415.png;279
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150216.png;279
E_1.18m_4.63s_N_12.0kmh_mh_20241114_120211.png;279
E_1.19m_4.86s_NNW_14.1kmh_hm_20241114_160503.png;279
SE_2.71m_6.44s_WNW_15.1kmh_hm_20241120_090204.png;279
SE_2.96m_6.43s_W_25.1kmh_lm_20241120_150054.png;279
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100145.png;278
ESE_0.94m_5.72s_NNW_9.1kmh_lm_20241119_150433.png;278
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130419.png;278
E_1.18m_4.63s_N_12.0kmh_mh_20241114_120524.png;278
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130138.png;278
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100428.png;278
ESE_0.85m_5.24s_W_7.3kmh_lm_20241115_110411.png;277
ESE_0.9m_5.26s_W_5.8kmh_ml_20241115_090345.png;277
ESE_1.82m_5.12s_NNW_20.9kmh_hm_20241111_115709.png;277
E_0.83m_4.02s_NNW_12.2kmh_hm_20241113_150151.png;277
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160514.png;277
E_1.17m_4.7s_N_13.0kmh_mh_20241114_130157.png;277
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150122.png;277
SE_2.84m_6.37s_WNW_24.2kmh_ml_20241120_130103.png;277
SE_2.96m_6.43s_W_25.1kmh_lm_20241120_150345.png;277
ESE_0.83m_5.22s_W_8.0kmh_lm_20241115_120252.png;276
E_1.19m_4.88s_N_13.3kmh_hm_20241114_170423.png;276
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_090011.png;276
ESE_0.85m_5.24s_W_7.3kmh_lm_20241115_110354.png;275
E_0.65m_4.73s_NW_3.5kmh_lm_20241113_090325.png;275
E_0.83m_4.02s_NNW_12.2kmh_hm_20241113_150206.png;275
E_1.18m_4.47s_N_11.1kmh_ml_20241114_090513.png;275
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130436.png;275
